None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,1
None,20
None,17
None,21
None,19
None,18
None,16
None,10
None,21
None,12
None,14
None,22
None,20
None,11
None,16
None,20
6,1
6,21
7,17
